Symbol,Name,Price,Dividend Yield,Price/Earnings,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,MorningStar Rating
AN,AutoNation Inc,51.94,,13.35,21.2,40.45,67.5,5.57,0.9982,0.26,2.42,3
ANTM,Anthem Inc.,132.23,1.97,14.1,88.21,115.63,173.59,34.56,5.82,0.43,1.48,2
APA,Apache Corporation,37.79,2.52,,25.95,32.2,71.87,14.29,5.78,1.69,1.49,1
APC,Anadarko Petroleum Corp,37.64,0.54,,25.23,28.16,95.94,19.14,3.13,1.94,1.43,2
APD,Air Products & Chemicals Inc,132.99,2.44,21.98,34.16,114.64,158.2,28.68,2.91,2.93,3.85,3
APH,Amphenol Corp A,52.72,1.07,21.88,10.5,44.5,60.54,16.27,1.28,2.9,5,2
ARG,Airgas Inc,141.76,1.7,30.55,27.33,86.09,141.79,10.27,0.96572,1.93,5.18,3
ATVI,Activision Blizzard,32.32,0.82,27.16,11.01,22.28,39.93,23.69,1.42,4.98,2.88,3
AVB,AvalonBay Communities Inc.,172.71,3.16,31.34,71.84,158.72,186.89,23.66,1.18,12.37,2.36,3
AVGO,Avago Technologies,132.47,1.35,27.29,17.06,100,150.5,36.63,2.84,5.28,7.64,3
AVY,Avery Dennison Corp,66.24,2.28,22.46,10.44,50.94,66.65,6.13,0.726,1,6.2,2
AXP,American Express Co,55.39,2.09,10.97,21.4,50.27,83.54,53.4,0,1.71,2.55,4
AZO,AutoZone Inc,785.15,,21.15,-58.74,640,803.25,23.72,2.26,2.28,,3
BA,Boeing Company,116.82,3.71,15.7,9.5,102.1,156.91,77.39,9,0.8,12.16,3
BAC,Bank of America Corp,12.32,1.59,9.4,22.54,10.99,18.48,129.56,0,1.61,0.54,3
BAX,Baxter International Inc.,39.84,1.2,22.57,14.31,32.18,43.44,21.79,1.53,2.14,2.72,3
BBBY,Bed Bath & Beyond,48.24,,9.54,16,41.26,78.1,7.74,1.7,0.64,3.02,4
BBT,BB&T Corporation,32.49,3.28,12.69,31.66,29.95,41.9,25.35,0,2.72,1.01,4
BBY,Best Buy Co. Inc.,32.24,2.99,12.14,13.48,25.31,42,11.05,2.22,0.27,2.33,3
BCR,Bard (C.R.) Inc.,196.57,0.51,111.06,19.75,163.81,202.47,14.49,1.03,4.22,9.82,2
BDX,Becton Dickinson,148.67,1.81,45.89,34.1,128.87,157.5,31.49,2.87,2.78,4.32,3
BEN,Franklin Resources,35.73,2.06,11.45,19.79,31,54.85,21.18,2.98,2.7,1.76,3
BHI,Baker Hughes Inc,43.25,1.56,,37.12,37.58,70.45,18.99,1.62,1.17,1.13,2
BIIB,BIOGEN IDEC Inc.,262.35,,17.1,42.88,242.07,480.18,57.37,5.62,5.23,6,4
BK,The Bank of New York Mellon Corp.,35.33,1.92,13.04,32.69,32.2,45.45,38.35,0,2.51,1.06,4
BLK,BlackRock,313.62,2.89,15.85,169.44,275,380.99,51.93,4.93,4.47,1.82,3
BLL,Ball Corp,66.83,0.78,33.58,8.79,57.95,75.24,9.47,1.09,1.19,7.61,2
BMY,Bristol-Myers Squibb,63.03,2.39,67.77,8.55,51.82,70.87,105.23,4.98,6.27,7.28,3
BWA,BorgWarner,32.6,1.58,12.07,16.2,27.68,63.3,7.13,1.36,0.88,2,4
BXLT,Baxalta,39.5,0.71,28.19,5.87,29.83,42.38,26.8,2.09,4.3,6.64,4
BXP,Boston Properties,115.18,2.27,30.96,35.87,94.91,145.9,17.69,1.51,6.95,3.17,3
C,Citigroup Inc.,38.62,0.51,7.15,69.46,34.52,60.95,114.06,0,1.62,0.55,4
CA,CA Inc.,29.78,3.39,17.14,12.67,25.16,33.42,12.41,1.23,3.04,2.33,3
CAG,ConAgra Foods Inc.,42.48,2.39,,7.91,33.45,45.49,18.44,2.27,1.15,5.31,2
CAH,Cardinal Health Inc.,82.67,1.9,20.11,20.34,74.73,91.91,27.23,2.89,0.24,4.04,3
CAT,Caterpillar Inc.,66.47,4.58,18.99,25.43,56.36,89.62,38.71,7.26,0.82,2.59,3
CB,Chubb Limited,118.39,0,13.73,89.77,96,119.86,38.43,3.74,1.99,1.29,3
CBG,CBRE Group,25.71,,15.77,8.13,22.74,39.77,8.58,1.11,0.78,3.11,4
CBS,CBS Corp.,47.64,1.28,16.48,12.02,38.51,63.95,21.89,3.11,1.57,3.95,3
CCI,Crown Castle International Corp.,86.74,4.08,19.62,21.28,75.71,88.26,28.89,2.03,7.85,4.06,3
CCL,Carnival Corp.,48.51,2.51,21.46,30.79,40.52,55.77,37.45,3.62,2.36,1.56,4
CELG,Celgene Corp.,102.35,,52.76,7.53,92.98,140.72,80,3.05,8.62,13.57,4
CERN,Cerner,51.36,,33.35,11.39,49.89,75.72,17.46,1.21,4.05,4.55,3
CF,CF Industries Holdings Inc,33.16,3.58,11.2,17.32,26.1,70.32,7.73,1.76,1.72,1.83,4
CHD,Church & Dwight,92.21,1.57,30.04,15.57,76.85,92.4,11.96,0.7841,3.5,5.88,2
CHK,Chesapeake Energy,2.56,0,,1.84,1.5,17.3,1.7,3.63,0.13,1.46,3
CHRW,C. H. Robinson Worldwide,70.16,2.45,19.99,7.93,59.71,76.18,10.07,0.92472,0.75,8.86,3
CI,CIGNA Corp.,140.32,0.03,17.46,46.91,118.7,170.68,36,4.33,0.93,2.93,3
CL,Colgate-Palmolive,67.42,2.25,44.36,-0.34,50.84,71.56,60.19,4.39,3.69,,3
CLX,The Clorox Company,131.45,2.4,25.39,1.53,103.77,132.19,17.02,1.22,2.96,85.07,2
CMA,Comerica Inc.,34.26,2.36,12.06,43.03,30.48,53.45,6.02,0,2.3,0.79,2
CMCSA,Comcast A Corp,58.53,1.89,18.06,21.4,50,64.99,142.95,24.88,1.91,2.73,2
CME,CME Group Inc.,93.19,2.61,25.25,61.01,81.87,100.87,31.39,2.22,9.35,1.51,3
CMG,Chipotle Mexican Grill,505.33,,33.47,69.58,399.14,758.61,15.18,0.90715,3.44,7.4,4
CMI,Cummins Inc.,97.7,3.96,12.46,42.49,79.88,146.13,17.03,2.57,0.88,2.26,3
CMS,CMS Energy,40.59,3.13,21.48,14.21,31.22,40.79,11.25,1.76,1.73,2.83,2
CNP,CenterPoint Energy,19.14,5.53,,9.43,16.05,21.48,8.24,1.88,1.02,2,3
CNX,CONSOL Energy Inc.,7.65,0.46,,20.53,4.54,34.14,1.75,1.1,0.72,0.39,3
COF,Capital One Financial,66.42,2.36,9.4,89.08,58.49,92.1,35.26,0,1.84,0.73,4
COG,Cabot Oil & Gas,19.41,0.37,,4.86,14.88,35.64,8.03,0.63644,6.27,4.06,3
COH,Coach Inc.,38.9,3.73,29.43,9.24,27.22,43.87,10.8,0.9323,2.48,4.1,3
COL,Rockwell Collins,88.64,1.5,18.09,14.47,76.03,99.37,11.62,1.18,2.23,6.1,3
COP,ConocoPhillips,33.06,2.9,,35.81,31.05,69.72,40.82,6.3,1.34,0.92,2
COST,Costco Co.,154.72,1.07,28.97,24.67,117.03,169.73,68.04,4.77,0.58,6.24,2
CPB,Campbell Soup,62.62,2.05,30.59,4.56,44.45,62.64,19.41,1.48,2.34,13.27,2
CRM,Salesforce.com,69.42,,,7.15,52.6,82.9,46.09,0.39981,6.59,8.74,3
CSCO,Cisco Systems,26.6,3.91,13.17,12.05,22.46,30.31,133.85,14.28,2.67,2.18,3
CSX,CSX Corp.,24.36,2.85,12.18,12.07,21.33,37.67,23.46,4.8,2,2.03,4
CTAS,Cintas Corporation,84.78,1.24,15.09,17.8,78,94.35,9.17,0.89502,1.95,4.73,2
CTL,CenturyLink Inc,30.41,7.2,19.25,25.96,21.94,38.33,16.47,6.96,0.91,1.16,4
CTSH,Cognizant Technology Solutions,57.24,,21.6,15.26,51.22,69.8,34.81,2.46,2.75,3.68,3
CTXS,Citrix Systems,71.61,,35.98,12.83,59,84.17,11.03,0.84398,3.27,5.42,2
CVC,Cablevision Systems Corp.,32.45,1.84,45.01,-17.92,17.66,33.28,8.98,1.75,1.38,,3
CVS,CVS Caremark Corp.,98.4,1.74,21.26,33.78,81.37,113.65,108.34,11.86,0.7,2.87,3
CVX,Chevron Corp.,85.3,4.82,34.82,82.31,69.58,112.2,160.54,17.14,1.31,1.04,3
CXO,Concho Resources,88.78,,53.07,51.51,69.94,134.13,10.57,2.35,5.43,1.78,1
D,Dominion Resources,71.83,3.96,22.45,21.22,64.54,76.59,42.86,5.3,3.64,3.36,3
DD,Du Pont (E.I.),60.42,2.52,27.96,11.2,47.11,76.59,52.67,4.11,2.05,5.27,3
DE,Deere & Co.,79.6,3.06,14.5,20.9,70.16,98.23,25.1,3.71,0.89,3.78,3
DFS,Discover Financial Services,47.16,2.37,9.19,26.72,42.86,61.5,19.9,0,2.32,1.75,3
DG,Dollar General,76.27,1.21,19.93,18.37,59.75,81.42,22.19,2.26,1.09,4.09,3
DGX,Quest Diagnostics,66.72,2.4,13.7,32.76,59.66,89,9.54,1.46,1.26,2.02,3
DHI,D. R. Horton,27.22,1.23,13.23,16.39,22.97,33.1,10.07,1.25,0.9,1.62,2
DHR,Danaher Corp.,88.26,0.62,18.62,34.49,81.25,97.62,60.62,4.52,2.91,2.53,3
DIS,The Walt Disney Company,95.65,1.47,17.88,25.86,86.25,122.08,156.06,16.44,2.87,3.69,4
DISCA,Discovery Communications-A,24.88,,15.79,8.59,23.74,34.94,15.78,2.44,2.5,2.93,4
DISCK,Discovery Communications-C,24.57,,15.59,8.59,23.33,32.78,15.59,2.44,2.46,2.89,4
DLPH,Delphi Automotive,66.68,1.75,13.18,8.09,55.59,90.57,18.51,2.49,1.17,7.88,2
DNB,Dun & Bradstreet,95.09,2.04,20.51,-32.02,85.99,135.14,3.44,0.4548,2.07,,3
DO,Diamond Offshore Drilling,19.26,0,,29.99,14.18,35.95,2.64,1.08,1.13,0.65,2
DOV,Dover Corp.,60.54,2.73,11.09,23.51,50.91,78.21,9.38,1.3,1.32,2.52,3
DOW,Dow Chemical,48.1,3.84,7.82,19.14,35.11,57.1,53.73,8.61,1.08,2.47,3
DPS,Dr Pepper Snapple Group,93.21,2.32,23.48,11.62,72,95.87,17.51,1.53,2.77,7.97,2
DRI,Darden Restaurants,63.74,3.22,22.36,15.52,53.38,75.6,8.17,0.8733,1.18,4.08,3
DTE,DTE Energy Co.,86.97,3.42,21.47,48.88,73.23,87.84,15.61,2.04,1.49,1.76,2
DUK,Duke Energy,76.44,4.41,18.88,57.74,65.5,80.1,52.59,8.61,2.2,1.3,4
DVA,DaVita Inc.,65.33,,52.26,23.22,61.36,85.17,13.7,2.5,0.98,2.76,3
DVN,Devon Energy Corp.,19.56,1.18,,16.86,18.07,70.48,8.63,3.38,0.68,1.15,2
EA,Electronic Arts,64.68,,33.12,9.72,53.01,76.92,20.01,0.942,4.57,6.5,3
EBAY,eBay Inc.,24.18,,17.05,5.55,21.52,29.83,28.5,2.95,3.29,4.31,3
ECL,Ecolab Inc.,103.68,1.3,27.78,22.97,98.62,122.48,30.62,2.92,2.18,4.45,2
ED,Consolidated Edison,72.45,3.74,17.89,44.55,56.86,73.9,21.27,3.56,1.67,1.61,2
EFX,Equifax Inc.,106.53,1.28,30.01,19.47,90.71,114.46,12.65,0.9014,4.65,5.36,1
EIX,Edison Int'l,68.79,2.99,14.91,35.6,55.18,69.24,22.41,4.05,1.8,1.91,2
EL,Estee Lauder Cos.,92.68,1.31,29.9,9.76,73.67,92.7,34.16,2.13,3.06,9.4,3
EMC,EMC Corp.,25.93,1.82,25.67,10.88,22.66,29.24,50.38,5.38,2,2.34,3
EMN,Eastman Chemical,64.54,2.85,11.4,26.09,56.03,83.9,9.54,2.14,0.98,2.45,3
EMR,Emerson Electric Company,48.63,3.86,12.83,11.59,41.25,62.75,31.27,4.04,1.45,4.17,4
ENDP,Endo International,52.67,,,28.25,46.66,96.58,11.93,0.78218,3.44,1.81,5
EOG,EOG Resources,68.5,0.93,,24.17,57.15,101.36,37.65,4.98,3.68,2.88,2
EQR,Equity Residential,74.5,2.98,31.55,28.6,61.9,82.53,27.17,1.79,9.73,2.56,3
ES,Eversource Energy,56.66,3.22,20.53,32.46,44.64,56.92,17.96,2.42,2.24,1.73,2
ESRX,Express Scripts,69.69,,19.58,25.67,65.55,94.61,46.56,6.87,0.45,2.7,4
ESV,Ensco plc,7.88,3.88,,38.26,7.25,28.4,1.86,2.31,0.44,0.22,2
ETN,Eaton Corporation,57.28,3.81,13.54,32.91,46.19,73.82,26.43,3.31,1.26,1.73,3
ETR,Entergy Corp.,74.25,4.59,,51.89,61.27,79.84,13.25,3.51,1.14,1.42,3
EW,Edwards Lifesciences,89.56,,39.8,11.6,61.38,89.58,19.33,0.7111,7.6,7.57,2
EXC,Exelon Corp.,31.98,3.91,12.59,28.04,25.09,34.98,29.42,8.22,0.99,1.13,2
EXPD,Expeditors Int'l,45.91,1.54,19.87,9.88,40.41,51.8,8.56,0.74754,1.25,4.6,3
EXPE,Expedia Inc.,105.13,0.9,18.44,32.37,88.4,140.51,15.83,0.7312,2.36,3.22,4
F,Ford Motor,12.39,4.78,6.73,7.22,10.44,16.74,49.18,16.02,0.32,1.67,4
FAST,Fastenal Co,45.07,2.65,25.46,6.22,34.45,45.65,13,0.91394,3.32,7.15,2
FB,Facebook,108.07,,83.58,15.6,72,117.59,307.6,8.24,16.97,6.85,2
FCX,Freeport-McMoran Cp & Gld,7.12,0,,6.26,3.52,23.97,8.9,3.38,0.57,1.15,3
FDX,FedEx Corporation,135.98,0.74,34.87,54.39,119.71,185.19,37.48,7.27,0.76,2.45,3
FE,FirstEnergy Corp,33.95,4.32,24.78,29.33,28.89,37.05,14.38,3.9,0.95,1.12,3
FFIV,F5 Networks,95.95,,18.81,18.36,86.03,135.2,6.6,0.59424,3.33,5.14,3
FIS,Fidelity National Information Services,60.04,1.73,27.48,31.52,55.11,73.6,17.75,1.98,2.65,1.88,3
FISV,Fiserv Inc,99.47,,33.27,11.81,76.34,99.48,22.18,1.6,4.17,8.33,2
FITB,Fifth Third Bancorp,15.3,3.32,7.61,18.48,13.84,21.93,12.01,0,1.92,0.81,4
FLR,Fluor Corp.,46.01,1.79,16.37,21.56,39.48,62.26,6.39,1.12,0.35,2.14,3
FMC,FMC Corporation,37.38,1.74,10.22,14.27,32.24,64.72,5,0.5998,1.51,2.59,3
FOX,Twenty-First Century Fox Class B,27.38,1.1,23.11,7.51,22.65,34.81,52.51,6.15,1.98,3.64,4
FOXA,Twenty-First Century Fox Class A,27.38,1.1,23.11,7.51,22.66,35.85,52.51,6.15,1.98,3.64,4
FRT,Federal Realty Investment Trust,150.43,2.55,49.65,23.8,124.87,153.32,10.48,0.47367,13.71,6.16,1
FSLR,First Solar Inc,72.25,,12.74,53.4,40.25,72.52,7.29,0.84235,1.92,1.3,3
FTI,FMC Technologies Inc.,23.86,,14.04,10.97,22.3,44.43,5.46,0.7865,0.88,2.23,2
FTR,Frontier Communications,5.31,9.31,,5.01,3.81,8.05,6.2,2.28,1.13,1.06,3
GAS,AGL Resources Inc.,65.14,3.27,22.16,32.64,46.36,65.16,7.84,1.2,1.98,1.99,3
GD,General Dynamics,137.24,2.02,15.11,34.46,121.61,153.76,42.76,4.66,1.34,3.92,3
GE,General Electric,29.23,3.13,,10.09,19.37,31.49,284.85,15.88,2.39,2.85,3
GILD,Gilead Sciences,90.16,1.93,7.57,13.44,81.89,123.37,128.21,23.35,3.89,6.65,4
GIS,General Mills,60.14,3.02,24.87,8.09,47.5,60.18,35.68,3.47,2.02,7.29,2
GLW,Corning Inc.,18.12,2.89,18.17,14.59,15.42,24.89,20.16,2.49,2.2,1.23,3
GM,General Motors,29.5,5.13,4.99,26.58,24.62,38.99,45.56,13.69,0.29,1.08,4
GOOG,Alphabet Inc Class C,705.75,,29.91,175.07,515.18,789.87,485.78,24.42,6.42,4,3
GOOGL,Alphabet Inc Class A,729.12,,30.9,175.07,529,810.35,501.87,24.42,6.62,4.12,3
GPC,Genuine Parts,91.87,2.85,19.84,20.9,76.5,97.29,13.83,1.29,0.9,4.36,2
GPS,Gap (The),27.6,3.4,11.29,6.46,21.57,43.9,11.09,2.37,0.68,4.22,5
GRMN,Garmin Ltd.,40.31,4.98,16.87,17.63,30.93,50.79,7.65,0.62794,2.73,2.3,3
GS,Goldman Sachs Group,148.25,1.75,12.21,171.45,139.05,218.77,65.47,0,1.9,0.85,4
GWW,Grainger (W.W.) Inc.,217.5,2.12,18.78,37.93,176.85,252.87,13.49,1.53,1.34,5.69,3
HAL,Halliburton Co.,32.5,2.19,,18.06,27.64,50.2,27.9,4.07,1.18,1.8,1
HAS,Hasbro Inc.,76.13,2.74,21.32,13.31,59.74,84.42,9.51,0.84726,2.13,5.69,2
HBAN,Huntington Bancshares,8.64,3.17,10.67,7.81,7.83,11.9,6.87,0,2.35,1.09,3
HBI,Hanesbrands Inc,28.07,1.63,26.48,3.26,23.25,34.8,10.99,0.97435,1.89,8.48,4
HCA,HCA Holdings,70,0,14.03,-19.06,43.91,95.49,27.91,7.87,0.7,,3
HCN,Welltower Inc.,62.67,5.7,26.78,38.29,52.8,80.35,22.26,1.9,5.79,1.61,3
HCP,HCP Inc.,29.66,7.94,,20.07,25.11,44.79,13.81,1.81,5.29,1.44,4
HD,Home Depot,126.86,1.92,23.8,6.01,92.17,135.47,160.84,13.14,1.84,20.9,2
HES,Hess Corporation,41.58,2.24,,68.45,32.41,79,11.78,1.6,1.81,0.61,2
HOG,Harley-Davidson,43.32,2.89,11.74,10.01,36.36,65.2,7.96,1.36,1.29,4.21,3
HON,Honeywell Int'l Inc.,104.19,2.26,17.25,23.73,87,111.86,80.16,7.71,2.06,4.35,3
HOT,Starwood Hotels & Resorts,68.96,2.23,23.94,7.68,56.87,87.99,11.64,1.12,3.76,8.79,3
HP,Helmerich & Payne,51.5,5.1,23.86,44.72,40.02,79.9,5.56,1.02,2.14,1.15,3
HPE,Hewlett Packard Enterprise,13.68,1.59,10.21,19.25,11.62,18.5,23.84,7.67,0.45,0.7,3
HPQ,HP Inc.,10.34,4.64,4.17,15.4,8.91,16.17,18.53,12.2,0.19,0.7,3
HRL,Hormel Foods Corp.,43.87,1.35,31.79,7.87,27.08,45.72,23.2,1.3,2.52,5.55,2
HSIC,Henry Schein,169.35,,29.76,35,126.17,169.45,13.88,0.92803,1.29,4.79,1
HSY,The Hershey Company,91.94,2.58,39.63,4.82,82.41,104.32,19.97,1.7,2.67,18.8,4
HUM,Humana Inc.,176.6,0.68,20.92,69.77,155.24,219.79,26.19,2.57,0.47,2.47,3
IBM,International Bus. Machines,134.5,3.89,10.02,14.76,116.9,176.3,129.93,19.59,1.57,8.99,3
ICE,Intercontinental Exchange,245.03,1.38,21.51,124.44,220.28,268.89,28.19,2.13,8.42,1.96,3
IFF,Intl Flavors & Fragrances,105.02,2.13,20.75,19.86,97.24,122.84,8.4,0.70166,2.81,5.35,4
ILMN,Illumina Inc,152.4,,49.16,12.66,130,242.37,22.24,0.66985,9.83,11.8,3
INTC,Intel Corp.,29.62,3.54,12.71,12.93,24.87,35.59,139.92,23.07,2.49,2.26,3
INTU,Intuit Inc.,100.07,1.22,67.34,3.98,79.63,109.21,26.42,1.17,6.08,24.86,2
IP,International Paper,34.79,5.12,15.6,9.47,32.5,57.01,14.4,3.68,0.64,3.66,2
IPG,Interpublic Group,21.58,2.83,19.8,4.59,18.16,23.8,8.77,1.03,1.14,4.66,2
IR,Ingersoll-Rand PLC,56.49,2.38,22.79,22.26,47.08,70.93,14.51,1.81,1.07,2.49,3
IRM,Iron Mountain Incorporated,29.93,6.59,48.75,2.88,23.64,38.91,6.32,0.90255,2.03,10.13,3
ISRG,Intuitive Surgical Inc.,559.28,,35.99,115.5,447,580,20.91,0.8387,8.74,4.79,3
ITW,Illinois Tool Works,94.98,2.28,18.51,14.36,78.79,100.14,34.55,3.34,2.56,6.56,2
IVZ,Invesco Ltd.,26.88,3.97,11.91,18.65,24.9,42.05,11.37,1.46,2.16,1.4,4
JBHT,J. B. Hunt Transport Services,77.15,1.14,21.08,11.41,63.58,93.5,8.79,1.05,1.4,6.64,2
JCI,Johnson Controls,36.43,3.24,15.87,16.21,33.62,54.52,23.62,3.04,0.64,2.21,4
JEC,Jacobs Engineering Group,38.47,,19.18,35.07,34.76,48.25,4.71,0.5578,0.4,1.1,3
JNJ,Johnson & Johnson,106.38,2.86,19.42,25.86,81.79,106.39,294.35,21.99,4.14,4.06,2
JNPR,Juniper Networks,24.96,1.61,15.7,11.94,21.49,32.39,9.56,1.08,1.96,2.08,3
JPM,JPMorgan Chase & Co.,57.01,3,9.5,60.29,50.07,70.61,209.47,0,2.3,0.93,3
JWN,Nordstrom,52.43,2.88,16.64,5.02,44.49,83.16,9.1,1.72,0.62,10.34,3
K,Kellogg Co.,74.91,2.71,43.55,6.08,61.13,76.24,26.22,1.97,1.91,12.16,2
KEY,KeyCorp,10.69,2.74,10.17,12.51,9.88,15.7,8.93,0,2.17,0.84,4
KHC,Kraft Heinz Co,74.96,3.14,,48.48,61.42,81.2,90.96,3.15,6.32,1.51,2
KIM,Kimco Realty,27.12,3.77,13.56,12.21,22.07,28.08,11.21,0.73647,9.39,2.18,2
KLAC,KLA-Tencor Corp.,67.45,3.14,20.22,2.35,44.95,70.28,10.5,0.90007,3.63,28.24,3
KMB,Kimberly-Clark,133.5,2.8,48.19,-0.48,103.04,133.53,48.18,4.13,2.57,,2
KMI,Kinder Morgan,17.75,2.79,181.12,15.75,11.2,44.71,39.61,6.82,2.74,1.12,3
KMX,Carmax Inc,46.26,,15.48,14.74,41.25,75.4,9.05,1.18,0.59,3.07,2
KO,The Coca Cola Company,44.16,3.19,26.44,5.91,36.56,44.18,190.95,12.1,4.29,7.43,3
KR,Kroger Co.,39.46,1.1,19.52,6.49,27.32,42.75,38.46,5.6,0.35,5.96,2
KSS,Kohl's Corp.,46.67,4,12.4,28.66,39.23,79.6,8.86,2.58,0.45,1.59,3
KSU,Kansas City Southern,82.34,1.59,18.71,36.03,62.2,117.55,8.93,1.1,3.64,2.25,2
LB,L Brands Inc.,85.67,2.86,21.51,-2.26,75.11,101.11,24.8,2.52,2.04,,4
LEN,Lennar Corp.,42.24,0.39,12.2,26.75,37.14,56.04,8.93,1.16,0.92,1.54,3
LH,Laboratory Corp. of America Holding,110.72,0,25.51,49.46,97.79,131.19,11.22,1.61,1.31,2.23,3
LLTC,Linear Technology Corp.,43.81,2.94,21.48,6.87,36.41,49.57,10.49,0.70285,7.2,6.31,3
LLY,Lilly (Eli) & Co.,74.82,2.79,33.11,14.34,68.31,92.85,79.68,5.19,3.95,5.17,3
LM,Legg Mason,27.94,2.81,30.8,39.79,24.93,58.79,3.01,0.55244,1.1,0.7,4
LMT,Lockheed Martin Corp.,220.03,3.07,19.2,10.22,181.91,227.91,66.67,6.7,1.42,21.19,2
LOW,Lowe's Cos.,68.7,1.61,21.8,9.14,62.62,78.13,62.87,6.95,1.08,7.51,3
LRCX,Lam Research,72.43,1.71,14.99,35.01,61.2,84.48,11.51,1.39,1.9,2.01,2
LUV,Southwest Airlines,42.59,0.73,13.04,11.36,31.36,51.34,27.18,5.19,1.34,3.64,3
LYB,LyondellBasell,78.18,3.87,8.15,14.88,69.1,107.32,33.79,7.13,1.02,5.21,3
M,Macy's Inc.,43.37,3.51,11.23,12.63,34.05,73.61,13.63,3.67,0.49,3.39,3
MA,Mastercard Inc.,87.42,0.87,26.1,5.4,74.61,101.76,97.1,5.58,9.93,16,4
MAR,Marriott Int'l.,68.3,1.5,21.68,-14.01,56.43,85,17.31,1.55,5.95,,3
MAS,Masco Corp.,28.91,1.37,28.23,-0.41,22.38,30.61,9.55,1.05,1.33,,2
MAT,Mattel Inc.,33.14,4.69,30.69,7.75,19.45,34.36,11.26,0.6403,1.93,4.17,2
MCD,McDonald's Corp.,118.37,3.03,24.69,9.05,87.5,124.83,108.69,8.91,4.23,12.93,3
MCHP,Microchip Technology,43.81,3.33,26.86,10.45,37.77,52.44,8.92,0.69614,4.12,4.18,3
MCK,McKesson Corp.,155.37,0.72,18.58,38.83,148.29,243.61,35.52,4.29,0.19,3.98,4
MDLZ,Mondelez International,41.58,1.71,9.36,17.73,33.97,48.58,65.23,4.66,2.16,2.3,3
MDT,Medtronic plc,77.66,1.98,44.38,37.17,55.54,79.5,109.2,7.71,4.16,2.06,3
MET,MetLife Inc.,39.42,3.83,8.63,61.88,35,58.23,43.28,7.96,0.61,0.62,3
